"CU ID","Interfaz","Actor","Módulo","Submódulo","Caso de Uso (Op. Simple)","Entidades del Dominio","Precondiciones","Postcondiciones","Flujo principal","Flujos alternativos / excepciones","Dependencias CU","Puntos CU","Reglas de negocio","Plataforma"
"CU-011","Portal de Dirección","Director","Logística","Vehículos","Registrar tipo de vehículo","tipo_vehiculo","Director autenticado","Tipo de vehículo registrado con ID asignado","1. Director abre Módulo Vehículos → Tipos → Nuevo 2. Completa formulario: Nombre tipo (único, requerido) - Ej: Manual, Automático, Motocicleta 3. Descripción (opcional) 4. Sistema valida nombre no duplicado 5. Previsualiza datos 6. Confirma creación y asigna ID tipo 7. Muestra confirmación con tipo registrado","1. Nombre tipo duplicado: 'Tipo [Manual] ya existe en el sistema' 2. Datos incompletos: resaltar nombre como requerido 3. Nombre muy largo: 'Nombre debe tener máximo 50 caracteres' 4. Error BD: 'Error al crear tipo. Intente nuevamente'","Ninguna","3","Nombre tipo UNIQUE; Máximo 50 caracteres; Tipos predefinidos recomendados: Manual, Automático, Motocicleta","Web"
"CU-012","Portal de Dirección","Director","Logística","Vehículos","Consultar tipo de vehículo","tipo_vehiculo","Director autenticado","Lista de tipos de vehículos con información visualizada","1. Director abre Módulo Vehículos → Tipos 2. Sistema carga lista de tipos existentes 3. Muestra columnas: ID, Nombre, Descripción, Cantidad de vehículos 4. Permite búsqueda por nombre (parcial, insensible a mayúsculas) 5. Ordena alfabéticamente 6. Seleccionar tipo muestra: detalle completo, vehículos asociados de ese tipo","1. No hay tipos registrados: 'No hay tipos de vehículos. Cree uno nuevo' 2. Búsqueda sin resultados: 'No encontrado' 3. Error BD: 'Error al cargar tipos de vehículos'","Ninguna","2","Listado ordenado alfabéticamente; Búsqueda case-insensitive; Solo muestra tipos activos","Web"
"CU-013","Portal de Dirección","Director","Logística","Vehículos","Modificar tipo de vehículo","tipo_vehiculo","Tipo registrado","Tipo de vehículo actualizado con cambios guardados","1. Director selecciona tipo de lista (CU-012) 2. Selecciona Editar 3. Abre formulario con datos actuales 4. Permite modificar: Nombre (solo sin vehículos asociados), Descripción 5. Valida nombre no duplicado 6. Muestra resumen de cambios 7. Confirma actualización","1. Nombre duplicado: 'Nombre [Automático] ya existe' 2. Tipo con vehículos asociados: 'No puede cambiar nombre. Tiene [N] vehículos asociados' 3. Datos incompletos: mostrar error específico 4. Error BD: 'Error al actualizar tipo'","CU-012","3","No cambiar nombre si hay vehículos asociados; Descripción siempre modificable; Máximo 50 caracteres en nombre","Web"
"CU-014","Portal de Dirección","Director","Logística","Vehículos","Eliminar tipo de vehículo","tipo_vehiculo","Tipo registrado","Tipo marcado como inactivo (soft delete)","1. Director selecciona tipo de lista (CU-012) 2. Selecciona Eliminar o Desactivar 3. Muestra diálogo: Nombre, Descripción, cantidad de vehículos asociados, alerta 'Esta acción no se puede deshacer' 4. SI sin vehículos: permite desactivar 5. SI con vehículos: muestra lista y aviso 6. Usuario confirma 7. Sistema marca como inactivo","1. Tipo con vehículos asociados: 'No puede desactivar. Tiene [N] vehículos de este tipo' 2. Usuario cancela: Vuelve a lista 3. Error BD: 'Error al desactivar tipo'","CU-012","3","Soft delete: solo marcar inactivo; No eliminar si hay vehículos asociados; Preserva historial","Web"
"CU-015","Portal de Dirección","Director","Logística","Vehículos","Registrar vehículo","vehiculo, tipo_vehiculo","Director autenticado","Vehículo registrado con ID asignado","1. Director abre Módulo Vehículos → Vehículos → Nuevo 2. Completa formulario: Placa (única, obligatoria) - Ej: ABC-123, Marca, Modelo, Año (1900-actual), Tipo vehículo (selector obligatorio, CU-011), Transmisión (manual/automático), Estado vehículo (activo/mantenimiento) 3. Valida: placa no duplicada, año válido, tipo existe 4. Previsualiza datos 5. Confirma creación y asigna ID vehículo 6. Muestra confirmación","1. Placa duplicada: 'Placa [ABC-123] ya registrada' 2. Tipo no existe: 'Seleccione tipo válido' 3. Año inválido: 'Año debe estar entre 1900 y año actual' 4. Datos incompletos: resaltar campos requeridos 5. Error BD: 'Error al registrar vehículo'","Ninguna","3","Placa UNIQUE; Año >= 1900 y <= actual; tipo_vehiculo_id obligatorio (FK); Estado default: activo; Transmisión default: manual","Web"
"CU-016","Portal de Dirección","Director","Logística","Vehículos","Consultar vehículo","vehiculo, tipo_vehiculo","Director autenticado","Lista de vehículos con información visualizada","1. Director abre Módulo Vehículos → Vehículos 2. Sistema carga lista paginada (máx 50) de vehículos activos 3. Muestra columnas: ID, Placa, Marca, Modelo, Tipo, Estado, Año 4. Búsqueda por placa, marca o modelo (parcial, insensible a mayúsculas) 5. Filtros: Por estado (activo/mantenimiento), Por tipo vehículo 6. Ordena por placa o marca 7. Seleccionar vehículo muestra: detalle completo, historial de sesiones/instructores asignados","1. No hay vehículos: 'No hay vehículos registrados. Cree uno nuevo' 2. Búsqueda sin resultados: 'No encontrado' 3. Error BD: 'Error al cargar vehículos'","Ninguna","2","Listado paginado (máx 50); Búsqueda case-insensitive; Solo muestra vehículos activos por defecto","Web"
"CU-017","Portal de Dirección","Director","Logística","Vehículos","Modificar vehículo","vehiculo, tipo_vehiculo","Vehículo registrado","Vehículo actualizado con cambios guardados","1. Director selecciona vehículo de lista (CU-016) 2. Selecciona Editar 3. Abre formulario con datos actuales 4. Permite modificar: Marca, Modelo, Año, Transmisión, Estado (activo/mantenimiento/retirado) (siempre); Placa, Tipo (solo sin sesiones asociadas) 5. Valida placa no duplicada, año válido 6. Muestra resumen de cambios 7. Confirma actualización","1. Vehículo con sesiones: 'No puede cambiar placa/tipo. Vehículo tiene sesiones asociadas' 2. Placa duplicada: 'Placa ya registrada' 3. Año inválido: 'Año entre 1900 y actual' 4. Error BD: 'Error al actualizar vehículo'","CU-016","3","No cambiar placa/tipo si tiene sesiones; Estado puede cambiar siempre; Vehículos en mantenimiento no disponibles para nuevas sesiones","Web"
"CU-018","Portal de Dirección","Director","Logística","Vehículos","Eliminar vehículo","vehiculo","Vehículo registrado","Vehículo marcado como inactivo (soft delete)","1. Director selecciona vehículo de lista (CU-016) 2. Selecciona Eliminar o Retirar 3. Muestra diálogo: Placa, Marca, Modelo, cantidad de sesiones, alerta 'Esta acción no se puede deshacer' 4. SI sin sesiones: permite marcar como retirado 5. SI con sesiones: muestra lista y aviso 6. Usuario confirma 7. Sistema marca estado como retirado/inactivo","1. Vehículo con sesiones activas: 'No puede eliminar. Vehículo tiene sesiones. Cambie estado a Mantenimiento' 2. Usuario cancela: Vuelve a lista 3. Error BD: 'Error al desactivar vehículo'","CU-016","3","Soft delete: marcar estado como retirado/inactivo; No eliminar si tiene sesiones; Preserva historial completo","Web"
"CU-019","Portal de Dirección","Director","Académico","Cursos","Crear curso","curso","Director autenticado","Curso registrado con ID asignado","1. Director abre Módulo Cursos → Nuevo 2. Completa formulario: Nombre curso (único, obligatoria) - Ej: Conducción Manual Automático, Horas prácticas (obligatoria, >= 0), Horas teóricas (obligatoria, >= 0), Precio (obligatorio, > 0), Descripción (opcional) 3. Sistema valida: nombre no duplicado, horas >= 0, precio > 0 4. Previsualiza curso con total de horas 5. Confirma creación y asigna ID curso 6. Muestra confirmación con datos registrados","1. Nombre duplicado: 'Curso [Nombre] ya existe' 2. Horas inválidas: 'Horas deben ser números positivos' 3. Precio <= 0: 'Precio debe ser mayor a 0' 4. Datos incompletos: resaltar campos requeridos 5. Formato de precio inválido: 'Ingrese precio válido (ej: 150.50)' 6. Error BD: 'Error al crear curso'","Ninguna","3","Nombre UNIQUE; horas_practicas_totales >= 0; horas_teoricas_totales >= 0; precio > 0; Estado default: activo; Precio en moneda local (numérico 12,2)","Web"
"CU-020","Portal de Dirección","Director","Académico","Cursos","Consultar curso","curso","Director autenticado","Lista paginada de cursos (máx 50 por página)","1. Director abre Módulo Cursos → Consultar 2. Sistema carga lista inicial: primeros 50 cursos ordenados por nombre (A-Z), mostrando: ID, Nombre, Horas totales, Precio, Estado 3. Director puede: a) Buscar por nombre (búsqueda parcial, insensible a mayúsculas) b) Filtrar por Estado (Activo/Inactivo) c) Navegar entre páginas 4. Al seleccionar un curso: muestra detalle con Descripción, horas prácticas/teóricas, precio, fecha creación 5. Opción: Editar o Eliminar del mismo detalle","1. Sin resultados: 'No hay cursos con estos criterios' 2. Búsqueda sin coincidencias: 'Ningún curso coincide con: [búsqueda]' 3. Página no existe: 'Página solicitada no disponible' 4. Error al cargar: 'Error al consultar cursos'","Ninguna","2","Máximo 50 registros por página; Búsqueda insensible a mayúsculas; Ordenamiento por nombre; Visualización incluye estado","Web"
"CU-021","Portal de Dirección","Director","Académico","Cursos","Modificar curso","curso","Curso registrado","Curso actualizado con cambios guardados","1. Director selecciona curso de lista (CU-020) 2. Selecciona Editar 3. Abre formulario con datos actuales precargados 4. Permite modificar: Nombre (solo sin inscripciones), Horas prácticas, Horas teóricas, Precio (siempre); Descripción 5. Valida nombre no duplicado, horas >= 0, precio > 0 6. Muestra resumen de cambios 7. Confirma actualización","1. Curso con inscripciones: 'No puede cambiar nombre. Curso tiene [N] inscripciones' 2. Nombre duplicado: 'Nombre [X] ya existe' 3. Horas inválidas: 'Horas deben ser números >= 0' 4. Precio <= 0: 'Precio debe ser mayor a 0' 5. Error BD: 'Error al actualizar curso'","CU-020","3","No cambiar nombre si tiene inscripciones; Precio y horas siempre editables; Máximo 50 caracteres en nombre","Web"
"CU-022","Portal de Dirección","Director","Académico","Cursos","Eliminar curso","curso","Curso registrado","Curso marcado como inactivo (soft delete)","1. Director selecciona curso de lista (CU-020) 2. Selecciona Eliminar o Desactivar 3. Muestra diálogo: Nombre, Precio total, cantidad de inscripciones, horas totales, alerta 'Esta acción no se puede deshacer' 4. SI sin inscripciones: permite desactivar directamente 5. SI con inscripciones: muestra lista y aviso 6. Usuario confirma 7. Sistema marca como inactivo (soft delete)","1. Curso con inscripciones activas: 'No puede desactivar. Tiene [N] inscripciones activas' 2. Usuario cancela: Vuelve a lista 3. Error BD: 'Error al desactivar curso'","CU-020","3","Soft delete: marcar estado como inactivo; No eliminar si tiene inscripciones; Preserva historial completo","Web"
"CU-023","Portal de Dirección","Director","Finanzas","Pagos","Registrar método de pago","metodo_pago","Director autenticado","Método de pago registrado con ID asignado","1. Director abre Módulo Pagos → Métodos → Nuevo 2. Completa formulario: Nombre método (único, obligatoria) - Ej: Tarjeta crédito, Transferencia bancaria, Efectivo, Cheque 3. Descripción (opcional) - Ej: Visa, Mastercard, etc 4. Activo (checkbox default: sí) 5. Sistema valida nombre no duplicado 6. Previsualiza datos 7. Confirma creación y asigna ID método 8. Muestra confirmación con método registrado","1. Nombre duplicado: 'Método [Nombre] ya existe' 2. Datos incompletos: resaltar nombre como requerido 3. Nombre muy largo: 'Nombre debe tener máximo 50 caracteres' 4. Error BD: 'Error al crear método de pago'","Ninguna","3","Nombre método UNIQUE; Máximo 50 caracteres; Estado default: activo; Ejemplos: Tarjeta crédito, Transferencia bancaria, Efectivo, Cheque","Web"
"CU-024","Portal de Dirección","Director","Finanzas","Pagos","Consultar método de pago","metodo_pago","Director autenticado","Lista de métodos de pago con detalles visualizados","1. Director abre Módulo Pagos → Métodos 2. Sistema carga lista de métodos existentes 3. Muestra columnas: ID, Nombre, Descripción, Estado, Cantidad inscripciones usando método 4. Permite búsqueda por nombre (parcial, insensible a mayúsculas) 5. Filtra por Estado (Activo/Inactivo) 6. Ordena alfabéticamente 7. Seleccionar método muestra: detalle completo, inscripciones que lo usan","1. No hay métodos registrados: 'No hay métodos de pago. Cree uno nuevo' 2. Búsqueda sin resultados: 'No encontrado' 3. Error BD: 'Error al cargar métodos de pago'","Ninguna","2","Listado ordenado alfabéticamente; Búsqueda case-insensitive; Solo muestra métodos activos por defecto","Web"
"CU-025","Portal de Dirección","Director","Finanzas","Pagos","Modificar método de pago","metodo_pago","Método registrado","Método de pago actualizado con cambios guardados","1. Director selecciona método de lista (CU-024) 2. Selecciona Editar 3. Abre formulario con datos actuales 4. Permite modificar: Nombre (solo sin inscripciones), Descripción, Estado (activo/inactivo) (siempre) 5. Valida nombre no duplicado 6. Muestra resumen de cambios 7. Confirma actualización","1. Nombre duplicado: 'Nombre [X] ya existe' 2. Método con inscripciones: 'No puede cambiar nombre. Tiene [N] inscripciones' 3. Datos incompletos: mostrar error específico 4. Error BD: 'Error al actualizar método'","CU-024","3","No cambiar nombre si hay inscripciones; Estado (activo/inactivo) siempre modificable; Máximo 50 caracteres en nombre","Web"
"CU-026","Portal de Dirección","Director","Finanzas","Pagos","Eliminar método de pago","metodo_pago","Método registrado","Método marcado como inactivo (soft delete)","1. Director selecciona método de lista (CU-024) 2. Selecciona Eliminar o Desactivar 3. Muestra diálogo: Nombre, Descripción, cantidad de inscripciones usando este método, alerta 'Esta acción no se puede deshacer' 4. SI sin inscripciones: permite desactivar directamente 5. SI con inscripciones: muestra lista y aviso 6. Usuario confirma 7. Sistema marca como inactivo (soft delete)","1. Método con inscripciones: 'No puede desactivar. Tiene [N] inscripciones usando este método' 2. Usuario cancela: Vuelve a lista 3. Error BD: 'Error al desactivar método'","CU-024","3","Soft delete: marcar estado como inactivo; No eliminar si tiene inscripciones; Preserva historial completo","Web"
"CU-027","Portal de Dirección","Director","Comercial","Inscripción","Registrar inscripción","inscripcion, sesion, usuario, curso, metodo_pago, vehiculo","Alumno y curso registrados, pago completado, recursos disponibles","Inscripción registrada, sesiones creadas","1. Director abre Inscripción → Nueva 2. SELECCION ALUMNO: busca por nombre/documento, valida activo, muestra datos 3. SELECCION CURSO: lista cursos activos, selecciona, valida existencia 4. VERIFICACION PAGO: busca pagos del alumno para este curso, SI pago pendiente → BLOQUEA con alerta, SI completado → continúa 5. SELECCION RECURSOS: muestra calendario horarios (8-10, 10-12, 13-15, 15-17, 17-19), filtra instructor/vehículo disponibles, VALIDA ANTICONFLICTO (instructor NO ocupado, vehículo NO ocupado, alumno NO en otra clase), selecciona primera sesión 6. CONFIRMACION: muestra RESUMEN (alumno, curso, pago, instructor, vehículo, horario) con confirmación 7. CREACION: crea inscripcion (alumno_id, curso_id, metodo_pago_id, estado_pago='completado'), crea sesiones (1 por clase) 8. Muestra confirmación: 'Inscripción registrada. ID: [id]'","1. Alumno no encontrado: 'Alumno no existe. Cree uno primero' 2. Alumno inactivo: 'Alumno inactivo. No puede inscribirse' 3. Curso no existe: 'Curso no disponible' 4. INSCRIPCION DUPLICADA: 'Alumno ya está inscrito en este curso' 5. PAGO NO REALIZADO: 'Pago pendiente. Monto $[precio]. Registre pago antes de continuar' 6. SIN RECURSOS DISPONIBLES: 'No hay instructores/vehículos disponibles en horarios solicitados. Próximo disponible: [fecha]' 7. CONFLICTO HORARIO (alumno en 2 clases): 'Alumno ya tiene clase en este horario' 8. INSTRUCTOR NO DISPONIBLE: 'Instructor [Nombre] no disponible [hora]. Opciones: [lista]' 9. VEHICULO NO DISPONIBLE: 'Vehículo [Placa] no disponible. Opciones: [lista]' 10. VEHICULO EN MANTENIMIENTO: 'Vehículo en mantenimiento. No disponible' 11. TIPO VEHICULO NO DISPONIBLE: 'No hay vehículos tipo [Automático] disponibles' 12. DATOS INCOMPLETOS: resaltar campo específico 13. Error BD: 'Error al crear inscripción. Intente nuevamente'","Ninguna","5","PAGO OBLIGATORIO: estado_pago DEBE='completado' ANTES de crear; UNICA POR CURSO: UNIQUE(alumno_id, curso_id); RECURSOS LIMITADOS: 4 vehículos (3 manuales, 1 automático), 5 instructores máximo; ANTICONFLICTO: validar instructor y vehículo sin conflicto de horario; HORARIOS: 8-10, 10-12, 13-15, 15-17, 17-19 (duración 2h); ALUMNO/CURSO ACTIVO obligatorio","Web"
"CU-028","Portal de Dirección","Director","Comercial","Inscripción","Consultar inscripción","inscripcion, sesion, usuario, curso","Director autenticado","Lista de inscripciones con estado y detalles visualizados","1. Director abre Módulo Inscripción 2. Carga lista paginada (máx 50) de inscripciones activas 3. Muestra columnas: ID, Alumno, Curso, Fecha inscripción, Estado pago, Sesiones restantes 4. Búsqueda por: nombre alumno, documento, ID inscripción, curso 5. Filtros: por estado pago, por curso, por rango fechas, por instructor 6. Ordena por fecha inscripción (descendente) 7. Seleccionar muestra tarjeta con: datos alumno (nombre, doc, teléfono), datos curso (nombre, horas, precio), pago (método, monto, fecha), sesiones listadas con fechas/horarios/instructor/vehículo, horas acumuladas","1. No hay inscripciones: 'No hay inscripciones registradas' 2. Búsqueda sin resultados: 'No encontrado' 3. Error BD: 'Error al cargar inscripciones'","Ninguna","3","Listado solo activos (soft delete); Página máx 50; Búsqueda case-insensitive; Sesiones muestran estado: programada, en curso, completada, cancelada","Web"
"CU-029","Portal de Dirección","Director","Comercial","Inscripción","Modificar inscripción","inscripcion, sesion, usuario, vehiculo","Inscripción registrada","Inscripción actualizada con cambios guardados","1. Director selecciona inscripción (CU-028) 2. Abre vista detalle → Editar 3. RESTRICCIONES: SI inscripción iniciada (sesión en curso/completada) → mostrar 'Inscripción en progreso. Cambios limitados' y permitir SOLO próximas sesiones; SI sin iniciar → permitir cambios de instructor/vehículo/horario 4. SELECCION NUEVOS RECURSOS: muestra calendario disponible 5. Selecciona nuevo instructor y vehículo 6. VALIDACION ANTICONFLICTO: instructor NO ocupado, vehículo NO ocupado, alumno NO tiene otra clase mismo horario 7. Selecciona nuevas fechas/horarios 8. CONFIRMACION: muestra cambios antes/después, resalta conflictos 9. CREACION: actualiza sesiones","1. Inscripción en progreso → 'No puede cambiar alumno/curso de inscripción en curso' 2. Alumno tiene otra clase → 'Conflicto de horario' 3. Instructor no disponible → 'Instructor ocupado. Opciones: [lista]' 4. Vehículo no disponible → 'Vehículo no disponible. Opciones: [lista]' 5. Tipo vehículo no disponible → 'No hay vehículos de este tipo disponibles' 6. Error BD → 'Error al actualizar inscripción'","CU-028","4","Inscripciones iniciadas: cambios limitados a próximas sesiones; Inscripciones sin iniciar: cambios libres (siempre validando anticonflicto); Sesiones completadas: NUNCA editar; Validación anticonflicto OBLIGATORIA","Web"
